segment_id,start_m,end_m,mean_elevation_m,mean_slope_deg,max_slope_deg,mean_aspect_deg,dist_to_landslide_m,dist_to_river_m
NH58_SEG_001,0.0,500.0,1866.2,22.8,47.8,177.8,4278.7,466.6
NH58_SEG_002,500.0,1000.0,1862.8,23.1,60.6,177.0,3778.7,465.7
NH58_SEG_003,1000.0,1500.0,1858.7,22.7,47.8,177.5,3278.7,464.7
NH58_SEG_004,1500.0,2000.0,1856.1,22.8,47.8,176.7,2778.7,464.0
NH58_SEG_005,2000.0,2500.0,1851.8,22.9,60.6,177.6,2278.7,462.9
NH58_SEG_006,2500.0,3000.0,1846.2,22.7,47.8,177.8,1778.7,461.6
NH58_SEG_007,3000.0,3500.0,1842.3,22.7,47.8,178.1,1278.7,460.6
NH58_SEG_008,3500.0,4000.0,1837.7,22.8,47.8,177.1,778.7,459.4
NH58_SEG_009,4000.0,4500.0,1828.2,22.8,60.6,177.8,278.7,457.1
NH58_SEG_010,4500.0,5000.0,1813.9,23.4,54.7,178.4,222.1,453.5
NH58_SEG_011,5000.0,5500.0,1792.5,23.2,50.2,177.7,721.3,448.1
NH58_SEG_012,5500.0,6000.0,1750.2,23.5,50.2,178.6,1221.3,437.6
NH58_SEG_013,6000.0,6500.0,1670.7,23.3,50.2,178.0,1721.3,417.7
NH58_SEG_014,6500.0,7000.0,1514.1,23.4,50.2,178.5,2221.3,378.5
NH58_SEG_015,7000.0,7500.0,1208.9,23.4,50.2,176.4,2721.3,302.2
NH58_SEG_016,7500.0,8000.0,944.0,23.3,50.2,177.8,3221.3,236.0
NH58_SEG_017,8000.0,8500.0,1151.5,23.4,50.2,178.1,3721.3,287.9
NH58_SEG_018,8500.0,9000.0,1483.6,23.5,50.2,176.7,4221.3,370.9
NH58_SEG_019,9000.0,9500.0,1657.4,23.3,50.2,179.0,3754.5,414.4
NH58_SEG_020,9500.0,10000.0,1749.0,23.4,50.2,177.3,3254.5,437.2
NH58_SEG_021,10000.0,10500.0,1795.5,23.4,50.2,177.6,2754.5,448.9
NH58_SEG_022,10500.0,11000.0,1820.7,23.3,50.2,177.0,2254.5,455.2
NH58_SEG_023,11000.0,11500.0,1835.1,23.4,50.2,178.1,1754.5,458.8
NH58_SEG_024,11500.0,12000.0,1843.6,23.3,50.2,178.6,1254.5,460.9
NH58_SEG_025,12000.0,12500.0,1847.9,23.3,50.2,178.3,754.5,462.0
